B	eps
10.1001	-0.00438775
10.1001	-0.00438775
10.1001	-0.00438775
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0993	-0.0049354
10.0981	-0.00522189
10.0963	-0.00513407
10.0975	-0.00550304
10.0975	-0.00550304
10.0975	-0.00550304
10.0975	-0.00550304
10.0975	-0.00550304
10.0975	-0.00550304
10.0975	-0.00550304
10.096	-0.00569534
10.096	-0.00569534
10.096	-0.00569534
10.096	-0.00569534
10.096	-0.00569534
10.096	-0.00569534
10.0938	-0.00479004
10.0938	-0.00479004
10.0938	-0.00479004
10.0938	-0.00479004
10.0938	-0.00479004
10.0954	-0.00426367
10.0954	-0.00426367
10.0945	-0.00430593
10.0961	-0.00420493
10.0961	-0.00420493
10.0961	-0.00420493
10.0961	-0.00420493
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0968	-0.00466829
10.0966	-0.00456586
10.0966	-0.00456586
10.0946	-0.00518552
10.0941	-0.00528681
10.0941	-0.00528681
10.0952	-0.00602565
10.0974	-0.00569321
10.0975	-0.00608503
10.0975	-0.00608503
10.0975	-0.00608503
10.0975	-0.00608503
10.0986	-0.00578599
10.0986	-0.00578599
10.0986	-0.00578599
10.0986	-0.00578599
10.0986	-0.00578599
10.0978	-0.0059643
10.0978	-0.0059643
10.0976	-0.00580438
10.0976	-0.00580438
10.0976	-0.00580438
10.0976	-0.00580438
10.0976	-0.00580438
10.0976	-0.00580438
10.0966	-0.00532673
10.0966	-0.00532673
10.0966	-0.00532673
10.0966	-0.00532673
10.0963	-0.00525189
10.0959	-0.00572973
10.0959	-0.00572973
10.0948	-0.005663
10.0948	-0.005663
10.0948	-0.005663
10.0948	-0.005663
10.0948	-0.005663
10.0948	-0.005663
10.0948	-0.005663
10.0951	-0.00555497
10.0951	-0.00555497
10.0968	-0.00529291
10.0968	-0.00529291
10.0972	-0.00524366
10.0972	-0.00524366
10.0972	-0.00524366
10.0972	-0.00524366
10.0968	-0.0054504
10.0968	-0.0054504
10.098	-0.00512559
10.098	-0.00512559
10.098	-0.00512559
10.098	-0.00512559
10.0967	-0.00475716
10.0952	-0.00443077
10.0932	-0.00479389
10.0929	-0.00518584
10.0929	-0.00518584
10.0929	-0.00518584
10.0929	-0.00518584
10.0929	-0.00518584
10.0929	-0.00518584
10.0934	-0.00602376
10.0943	-0.00619432
10.0953	-0.0062163
10.0959	-0.00584138
10.0959	-0.00584138
10.0959	-0.00584138
10.0959	-0.00584138
